State,Division,Latitude,Longitude
ACT,Canberra,-35.349,149.089
ACT,Fenner,-35.236,149.111
NSW,Banks,-33.967,151.066
NSW,Barton,-33.956,151.129
NSW,Bennelong,-33.793,151.099
NSW,Berowra,-33.568,151.047
NSW,Blaxland,-33.888,151.000
NSW,Bradfield,-33.732,151.146
NSW,Calare,-33.306,148.922
NSW,Chifley,-33.735,150.838
NSW,Cook,-34.031,151.100
NSW,Cowper,-30.384,152.870
NSW,Cunningham,-34.259,150.916
NSW,Dobell,-33.248,151.366
NSW,Eden-Monaro,-36.292,149.344
NSW,Farrer,-32.501,143.311
NSW,Fowler,-33.900,150.877
NSW,Gilmore,-35.067,150.398
NSW,Grayndler,-33.897,151.148
NSW,Greenway,-33.733,150.913
NSW,Hughes,-33.992,150.975
NSW,Hume,-34.409,149.045
NSW,Hunter,-32.375,150.778
NSW,Kingsford Smith,-33.949,151.231
NSW,Lindsay,-33.751,150.711
NSW,Lyne,-31.602,152.277
NSW,Macarthur,-34.065,150.764
NSW,Mackellar,-33.669,151.253
NSW,Macquarie,-33.475,150.642
NSW,McMahon,-33.837,150.859
NSW,Mitchell,-33.710,150.960
NSW,New England,-30.319,151.315
NSW,Newcastle,-32.841,151.753
NSW,North Sydney,-33.816,151.184
NSW,Page,-29.275,152.804
NSW,Parkes,-30.887,147.373
NSW,Parramatta,-33.809,151.011
NSW,Paterson,-32.40694,151.91806
NSW,Reid,-33.853,151.084
NSW,Richmond,-28.511,153.363
NSW,Riverina,-34.427,146.700
NSW,Robertson,-33.382,151.213
NSW,Shortland,-33.112,151.617
NSW,Sydney,-33.895,151.200
NSW,Warringah,-39.076120,125.816959
NSW,Watson,-33.908,151.077
NSW,Wentworth,-33.883,151.253
NSW,Werriwa,-33.981,150.843
NSW,Whitlam,-34.534,150.552
NSW,Sydney Airport,-33.940248,151.175186
NT,Lingiari,-19.416,133.363
NT,Solomon,-12.423,130.936
NT,Darwin Airport,-12.409821,130.880137
QLD,Blair,-27.115,152.462
QLD,Bonner,-27.500,153.138
QLD,Bowman,-27.580,153.242
QLD,Brisbane,-27.438,153.028
QLD,Capricornia,-22.051,148.189
QLD,Dawson,-20.204,148.003
QLD,Dickson,-27.271,152.847
QLD,Fadden,-27.793072,153.356213
QLD,Fairfax,-26.586,152.888
QLD,Fisher,-26.789,152.899
QLD,Flynn,-24.491,149.664
QLD,Forde,-27.762,153.181
QLD,Griffith,-27.486,153.062
QLD,Groom,-27.484,151.653
QLD,Herbert,-19.208,146.616
QLD,Hinkler,-25.183,152.385
QLD,Kennedy,-19.634,142.089
QLD,Leichhardt,-14.357,143.121
QLD,Lilley,-27.377,153.071
QLD,Longman,-27.014,152.895
QLD,Maranoa,-25.807,144.718
QLD,McPherson,-28.148,153.399
QLD,Moncrieff,-28.008,153.385
QLD,Moreton,-27.564,153.031
QLD,Oxley,-27.609,152.933
QLD,Petrie,-27.246,153.039
QLD,Rankin,-27.642,153.094
QLD,Ryan,-27.470,152.851
QLD,Wide Bay,-25.913,152.559
QLD,Wright,-27.917,152.674
QLD,Brisbane Airport,-27.394903,153.121228
SA,Adelaide,-34.907,138.602
SA,Barker,-35.532,140.204
SA,Boothby,-35.012,138.596
SA,Grey,-29.604,135.454
SA,Hindmarsh,-34.936,138.528
SA,Kingston,-35.201,138.535
SA,Makin,-34.799,138.699
SA,Mayo,-35.521,138.029
SA,Port Adelaide,-34.777,138.546
SA,Sturt,-34.894,138.674
SA,Wakefield,-34.248,138.618
SA,Adelaide Airport,-34.946180,138.533204
TAS,Bass,-41.130,147.616
TAS,Braddon,-41.648,145.414
TAS,Denison,-42.888,147.244
TAS,Franklin,-43.224,146.711
TAS,Lyons,-42.082,147.073
TAS,Hobart Airport,-42.836756,147.506545
VIC,Aston,-37.892,145.240
VIC,Ballarat,-37.516,144.066
VIC,Batman,-37.733,145.014
VIC,Bendigo,-36.901,144.182
VIC,Bruce,-37.931,145.186
VIC,Calwell,-37.589,144.825
VIC,Casey,-37.773,145.400
VIC,Chisholm,-37.865,145.123
VIC,Corangamite,-38.243,143.821
VIC,Corio,-37.997,144.381
VIC,Deakin,-37.822,145.206
VIC,Dunkley,-38.170,145.138
VIC,Flinders,-38.346,145.324
VIC,Gellibrand,-37.836,144.846
VIC,Gippsland,-37.584,147.767
VIC,Goldstein,-37.934,145.023
VIC,Gorton,-37.739,144.759
VIC,Higgins,-37.859,145.047
VIC,Holt,-38.044,145.281
VIC,Hotham,-37.946,145.097
VIC,Indi,-36.640,146.633
VIC,Isaacs,-38.039,145.171
VIC,Jagajaga,-37.729,145.117
VIC,Kooyong,-37.812,145.061
VIC,La Trobe,-37.971,145.424
VIC,Lalor,-37.796,144.614
VIC,Mallee,-35.719,142.178
VIC,Maribyrnong,-37.753,144.859
VIC,McEwen,-37.362,145.347
VIC,McMillan,-38.266,146.059
VIC,Melbourne,-37.800,144.963
VIC,Melbourne Ports,-37.856,144.976
VIC,Menzies,-37.763,145.191
VIC,Murray,-36.279,144.646
VIC,Scullin,-37.663,145.053
VIC,Wannon,-37.703,142.448
VIC,Wills,-37.729,144.943
VIC,Melbourne Airport,-37.669612,144.842524
WA,Brand,-32.322,115.798
WA,Burt,-32.10833,115.96889
WA,Canning,-32.634,116.113
WA,Cowan,-31.782,115.846
WA,Curtin,-31.957,115.796
WA,Durack,-22.777,121.428
WA,Forrest,-33.700,115.706
WA,Fremantle,-32.103,115.790
WA,Hasluck,-31.997,116.008
WA,Moore,-31.739,115.758
